Brand,Slug,Tagline,Color Token,Hex,Color Notes,Typo Token,Font,Size px,Typo Notes
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.button.large,Inter,16.0,Primary CTAs — uppercase
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.button,Inter,14.0,Standard buttons — uppercase
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h2,Inter,24.0,Subsection headers
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h4,Inter,18.0,Minor headings
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.button.large,Inter,16.0,Primary CTAs — uppercase
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.button,Inter,14.0,Standard buttons — uppercase
Dropframe,dropframe,Build Your Brand in Motion,tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h2,Inter,24.0,Subsection headers
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h4,Inter,18.0,Minor headings
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.button.large,Inter,16.0,Primary CTAs — uppercase
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.button,Inter,14.0,Standard buttons — uppercase
Dropframe,dropframe,Build Your Brand in Motion,tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps, footnotes"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.h1,Oswald,36.0,"Page titles, section headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.h2,Oswald,28.0,Subsection headers
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.h3,Oswald,22.0,"Card titles, feature headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.h4,Oswald,18.0,Minor headings
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.button.large,Oswald,16.0,Large CTAs — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.button,Oswald,14.0,Standard buttons — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.h1,Oswald,36.0,"Page titles, section headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.h2,Oswald,28.0,Subsection headers
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.h3,Oswald,22.0,"Card titles, feature headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.h4,Oswald,18.0,Minor headings
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.button.large,Oswald,16.0,Large CTAs — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.button,Oswald,14.0,Standard buttons — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.h1,Oswald,36.0,"Page titles, section headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.h2,Oswald,28.0,Subsection headers
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.h3,Oswald,22.0,"Card titles, feature headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.h4,Oswald,18.0,Minor headings
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.button.large,Oswald,16.0,Large CTAs — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.button,Oswald,14.0,Standard buttons — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.h1,Oswald,36.0,"Page titles, section headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.h2,Oswald,28.0,Subsection headers
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.h3,Oswald,22.0,"Card titles, feature headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.h4,Oswald,18.0,Minor headings
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.button.large,Oswald,16.0,Large CTAs — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.button,Oswald,14.0,Standard buttons — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.h1,Oswald,36.0,"Page titles, section headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.h2,Oswald,28.0,Subsection headers
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.h3,Oswald,22.0,"Card titles, feature headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.h4,Oswald,18.0,Minor headings
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.button.large,Oswald,16.0,Large CTAs — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.button,Oswald,14.0,Standard buttons — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.h1,Oswald,36.0,"Page titles, section headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.h2,Oswald,28.0,Subsection headers
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.h3,Oswald,22.0,"Card titles, feature headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.h4,Oswald,18.0,Minor headings
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.button.large,Oswald,16.0,Large CTAs — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.button,Oswald,14.0,Standard buttons — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.mid,#6B7280,"Secondary text, muted content",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.h1,Oswald,36.0,"Page titles, section headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.h2,Oswald,28.0,Subsection headers
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.h3,Oswald,22.0,"Card titles, feature headers"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.h4,Oswald,18.0,Minor headings
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.button.large,Oswald,16.0,Large CTAs — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.button,Oswald,14.0,Standard buttons — uppercase
Grindline Studio,grindline-studio,Where Hustle Meets Flow,neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps"
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.300,#32B8C6,"Light accent, highlights",type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.300,#32B8C6,"Light accent, highlights",type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.300,#32B8C6,"Light accent, highlights",type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.300,#32B8C6,"Light accent, highlights",type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.300,#32B8C6,"Light accent, highlights",type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.300,#32B8C6,"Light accent, highlights",type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.500,#21808D,Primary brand color,type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.500,#21808D,Primary brand color,type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.500,#21808D,Primary brand color,type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.500,#21808D,Primary brand color,type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.500,#21808D,Primary brand color,type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.500,#21808D,Primary brand color,type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.600,#1D7480,"Hover, pressed states",type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.600,#1D7480,"Hover, pressed states",type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.600,#1D7480,"Hover, pressed states",type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.600,#1D7480,"Hover, pressed states",type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.600,#1D7480,"Hover, pressed states",type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,brand.teal.600,#1D7480,"Hover, pressed states",type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.100,#FFFFFD,"Cards, panels",type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.100,#FFFFFD,"Cards, panels",type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.100,#FFFFFD,"Cards, panels",type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.100,#FFFFFD,"Cards, panels",type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.100,#FFFFFD,"Cards, panels",type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.100,#FFFFFD,"Cards, panels",type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.50,#FCFCF9,Page backgrounds,type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.50,#FCFCF9,Page backgrounds,type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.50,#FCFCF9,Page backgrounds,type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.50,#FCFCF9,Page backgrounds,type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.50,#FCFCF9,Page backgrounds,type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,foundation.cream.50,#FCFCF9,Page backgrounds,type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.200,#F5F5F5,"Dividers, borders",type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.200,#F5F5F5,"Dividers, borders",type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.200,#F5F5F5,"Dividers, borders",type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.200,#F5F5F5,"Dividers, borders",type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.200,#F5F5F5,"Dividers, borders",type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.200,#F5F5F5,"Dividers, borders",type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.300,#A7A9A9,Disabled states,type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.300,#A7A9A9,Disabled states,type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.300,#A7A9A9,Disabled states,type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.300,#A7A9A9,Disabled states,type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.300,#A7A9A9,Disabled states,type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,foundation.gray.300,#A7A9A9,Disabled states,type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,foundation.white,#FFFFFF,Pure white surfaces,type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,foundation.white,#FFFFFF,Pure white surfaces,type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,foundation.white,#FFFFFF,Pure white surfaces,type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,foundation.white,#FFFFFF,Pure white surfaces,type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,foundation.white,#FFFFFF,Pure white surfaces,type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,foundation.white,#FFFFFF,Pure white surfaces,type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,semantic.error,#C0152F,"Alerts, errors",type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,semantic.error,#C0152F,"Alerts, errors",type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,semantic.error,#C0152F,"Alerts, errors",type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,semantic.error,#C0152F,"Alerts, errors",type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,semantic.error,#C0152F,"Alerts, errors",type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,semantic.error,#C0152F,"Alerts, errors",type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,semantic.success,#21808D,Success state (alias of teal 500),type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,semantic.success,#21808D,Success state (alias of teal 500),type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,semantic.success,#21808D,Success state (alias of teal 500),type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,semantic.success,#21808D,Success state (alias of teal 500),type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,semantic.success,#21808D,Success state (alias of teal 500),type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,semantic.success,#21808D,Success state (alias of teal 500),type.h3,IBM Plex Sans,11.0,"Overlines, labels"
Radiant Systems,radiant-systems,Operational Permanence,text.heading,#262828,Headings (Charcoal 800),type.h1,IBM Plex Sans,24.0,Page titles
Radiant Systems,radiant-systems,Operational Permanence,text.heading,#262828,Headings (Charcoal 800),type.h2,IBM Plex Sans,18.0,Section headers
Radiant Systems,radiant-systems,Operational Permanence,text.heading,#262828,Headings (Charcoal 800),type.body,IBM Plex Sans,14.0,Standard paragraphs
Radiant Systems,radiant-systems,Operational Permanence,text.heading,#262828,Headings (Charcoal 800),type.code,IBM Plex Mono,14.0,"CLI, logs, system data"
Radiant Systems,radiant-systems,Operational Permanence,text.heading,#262828,Headings (Charcoal 800),type.small,IBM Plex Sans,12.0,"Captions, metadata"
Radiant Systems,radiant-systems,Operational Permanence,text.heading,#262828,Headings (Charcoal 800),type.h3,IBM Plex Sans,11.0,"Overlines, labels"
